duplicate_1,Location,duplicate_2,Location.1,E.value,duplication_status
Glyma.02G026600,glyma.Wm82.gnm4.Gm02:2354713,Glyma.05G032600,glyma.Wm82.gnm4.Gm05:2850277,2.93e-143,WGD
Glyma.02G088900,glyma.Wm82.gnm4.Gm02:7783693,Glyma.05G002200,glyma.Wm82.gnm4.Gm05:171850,1.04e-37,WGD
Glyma.02G089000,glyma.Wm82.gnm4.Gm02:7790137,Glyma.05G002100,glyma.Wm82.gnm4.Gm05:162078,0.0,WGD
Glyma.02G089100,glyma.Wm82.gnm4.Gm02:7801482,Glyma.05G002000,glyma.Wm82.gnm4.Gm05:156888,5.66e-52,WGD
Glyma.02G089900,glyma.Wm82.gnm4.Gm02:7860679,Glyma.05G001700,glyma.Wm82.gnm4.Gm05:131714,2.29e-191,WGD
Glyma.02G090800,glyma.Wm82.gnm4.Gm02:7982148,Glyma.05G001200,glyma.Wm82.gnm4.Gm05:99494,8.85e-215,WGD
Glyma.02G091900,glyma.Wm82.gnm4.Gm02:8103435,Glyma.05G000900,glyma.Wm82.gnm4.Gm05:85300,6.97e-274,WGD
Glyma.02G213000,glyma.Wm82.gnm4.Gm02:41742725,Glyma.06G093600,glyma.Wm82.gnm4.Gm06:7354485,1.60e-202,WGD
Glyma.02G213200,glyma.Wm82.gnm4.Gm02:41763805,Glyma.06G093700,glyma.Wm82.gnm4.Gm06:7357929,3.03e-102,WGD
Glyma.02G213300,glyma.Wm82.gnm4.Gm02:41764724,Glyma.06G093800,glyma.Wm82.gnm4.Gm06:7358888,3.65e-14,WGD
Glyma.02G214000,glyma.Wm82.gnm4.Gm02:41847450,Glyma.06G095600,glyma.Wm82.gnm4.Gm06:7518668,3.73e-56,WGD
Glyma.02G214300,glyma.Wm82.gnm4.Gm02:41874887,Glyma.06G096200,glyma.Wm82.gnm4.Gm06:7575755,6.08e-89,WGD
Glyma.02G214400,glyma.Wm82.gnm4.Gm02:41892204,Glyma.06G096800,glyma.Wm82.gnm4.Gm06:7620660,3.53e-83,WGD
Glyma.02G214500,glyma.Wm82.gnm4.Gm02:41898485,Glyma.06G096900,glyma.Wm82.gnm4.Gm06:7623541,1.40e-307,WGD
Glyma.02G214600,glyma.Wm82.gnm4.Gm02:41904211,Glyma.06G097100,glyma.Wm82.gnm4.Gm06:7631177,3.68e-99,WGD
Glyma.02G214700,glyma.Wm82.gnm4.Gm02:41912721,Glyma.06G097200,glyma.Wm82.gnm4.Gm06:7646412,1.19e-259,WGD
Glyma.02G214900,glyma.Wm82.gnm4.Gm02:41929717,Glyma.06G097300,glyma.Wm82.gnm4.Gm06:7655780,2.45e-179,WGD
Glyma.02G215800,glyma.Wm82.gnm4.Gm02:42055951,Glyma.06G098300,glyma.Wm82.gnm4.Gm06:7767333,0.0,WGD
Glyma.02G216000,glyma.Wm82.gnm4.Gm02:42104599,Glyma.06G098700,glyma.Wm82.gnm4.Gm06:7821172,0.0,WGD
Glyma.02G211800,glyma.Wm82.gnm4.Gm02:41543835,Glyma.06G095400,glyma.Wm82.gnm4.Gm06:7500922,0.0,WGD
Glyma.02G211900,glyma.Wm82.gnm4.Gm02:41569173,Glyma.06G095200,glyma.Wm82.gnm4.Gm06:7485256,3.59e-64,WGD
Glyma.02G212000,glyma.Wm82.gnm4.Gm02:41585865,Glyma.06G095000,glyma.Wm82.gnm4.Gm06:7470295,1.95e-163,WGD
Glyma.02G212200,glyma.Wm82.gnm4.Gm02:41611359,Glyma.06G094700,glyma.Wm82.gnm4.Gm06:7438815,2.70e-114,WGD
Glyma.02G212300,glyma.Wm82.gnm4.Gm02:41612740,Glyma.06G094800,glyma.Wm82.gnm4.Gm06:7438306,2.67e-30,WGD
Glyma.02G212400,glyma.Wm82.gnm4.Gm02:41651585,Glyma.06G094600,glyma.Wm82.gnm4.Gm06:7421832,1.52e-157,WGD
Glyma.02G212600,glyma.Wm82.gnm4.Gm02:41710044,Glyma.06G094300,glyma.Wm82.gnm4.Gm06:7392829,0.0,WGD
Glyma.02G213400,glyma.Wm82.gnm4.Gm02:41780296,Glyma.06G093500,glyma.Wm82.gnm4.Gm06:7341803,0.0,WGD
Glyma.02G213500,glyma.Wm82.gnm4.Gm02:41800340,Glyma.06G093400,glyma.Wm82.gnm4.Gm06:7323979,2.33e-106,WGD
Glyma.02G216300,glyma.Wm82.gnm4.Gm02:42136566,Glyma.06G092800,glyma.Wm82.gnm4.Gm06:7283062,1.26e-316,WGD
Glyma.02G216500,glyma.Wm82.gnm4.Gm02:42162919,Glyma.06G092700,glyma.Wm82.gnm4.Gm06:7277923,6.24e-93,WGD
Glyma.02G217000,glyma.Wm82.gnm4.Gm02:42231030,Glyma.06G092500,glyma.Wm82.gnm4.Gm06:7269466,7.97e-29,WGD
Glyma.02G217300,glyma.Wm82.gnm4.Gm02:42249198,Glyma.06G092300,glyma.Wm82.gnm4.Gm06:7253733,8.70e-291,WGD
Glyma.02G217600,glyma.Wm82.gnm4.Gm02:42277871,Glyma.06G092100,glyma.Wm82.gnm4.Gm06:7239576,1.80e-156,WGD
Glyma.02G217800,glyma.Wm82.gnm4.Gm02:42320063,Glyma.06G092000,glyma.Wm82.gnm4.Gm06:7215906,2.65e-168,WGD
Glyma.02G217900,glyma.Wm82.gnm4.Gm02:42353929,Glyma.06G091900,glyma.Wm82.gnm4.Gm06:7204859,1.58e-35,WGD
Glyma.02G218100,glyma.Wm82.gnm4.Gm02:42375387,Glyma.06G091700,glyma.Wm82.gnm4.Gm06:7190288,9.41e-201,WGD
Glyma.02G218200,glyma.Wm82.gnm4.Gm02:42396306,Glyma.06G091651,glyma.Wm82.gnm4.Gm06:7165751,2.38e-225,WGD
Glyma.02G218300,glyma.Wm82.gnm4.Gm02:42420906,Glyma.06G091600,glyma.Wm82.gnm4.Gm06:7152899,3.05e-304,WGD
Glyma.02G218400,glyma.Wm82.gnm4.Gm02:42474204,Glyma.06G091100,glyma.Wm82.gnm4.Gm06:7082918,1.30e-295,WGD
Glyma.02G218600,glyma.Wm82.gnm4.Gm02:42485913,Glyma.06G090967,glyma.Wm82.gnm4.Gm06:7072781,3.53e-13,WGD
Glyma.02G219100,glyma.Wm82.gnm4.Gm02:42532942,Glyma.06G141600,glyma.Wm82.gnm4.Gm06:11495163,2.53e-45,WGD
Glyma.02G219400,glyma.Wm82.gnm4.Gm02:42562647,Glyma.06G141400,glyma.Wm82.gnm4.Gm06:11485913,3.74e-191,WGD
Glyma.02G219700,glyma.Wm82.gnm4.Gm02:42589276,Glyma.06G141200,glyma.Wm82.gnm4.Gm06:11458544,1.22e-160,WGD
Glyma.02G219800,glyma.Wm82.gnm4.Gm02:42615518,Glyma.06G141100,glyma.Wm82.gnm4.Gm06:11451668,7.87e-270,WGD
Glyma.02G220000,glyma.Wm82.gnm4.Gm02:42626088,Glyma.06G140900,glyma.Wm82.gnm4.Gm06:11439090,2.11e-161,WGD
Glyma.02G220100,glyma.Wm82.gnm4.Gm02:42629385,Glyma.06G140800,glyma.Wm82.gnm4.Gm06:11433477,1.47e-85,WGD
Glyma.02G220300,glyma.Wm82.gnm4.Gm02:42649281,Glyma.06G140100,glyma.Wm82.gnm4.Gm06:11391395,3.64e-93,WGD
Glyma.02G220400,glyma.Wm82.gnm4.Gm02:42654335,Glyma.06G139900,glyma.Wm82.gnm4.Gm06:11367334,1.11e-308,WGD
Glyma.02G220600,glyma.Wm82.gnm4.Gm02:42683677,Glyma.06G139400,glyma.Wm82.gnm4.Gm06:11326747,2.35e-163,WGD
Glyma.02G220900,glyma.Wm82.gnm4.Gm02:42714428,Glyma.06G139000,glyma.Wm82.gnm4.Gm06:11296794,1.86e-156,WGD
Glyma.02G221000,glyma.Wm82.gnm4.Gm02:42718927,Glyma.06G138900,glyma.Wm82.gnm4.Gm06:11292651,4.50e-98,WGD
Glyma.02G221600,glyma.Wm82.gnm4.Gm02:42755503,Glyma.06G138800,glyma.Wm82.gnm4.Gm06:11283657,2.40e-242,WGD
Glyma.02G222000,glyma.Wm82.gnm4.Gm02:42786214,Glyma.06G138300,glyma.Wm82.gnm4.Gm06:11250812,3.69e-161,WGD
Glyma.02G222200,glyma.Wm82.gnm4.Gm02:42809430,Glyma.06G138200,glyma.Wm82.gnm4.Gm06:11243741,6.08e-270,WGD
Glyma.02G222300,glyma.Wm82.gnm4.Gm02:42824100,Glyma.06G138100,glyma.Wm82.gnm4.Gm06:11227894,6.87e-195,WGD
Glyma.02G208200,glyma.Wm82.gnm4.Gm02:41148606,Glyma.06G102000,glyma.Wm82.gnm4.Gm06:8070344,5.58e-171,WGD
Glyma.02G208300,glyma.Wm82.gnm4.Gm02:41156964,Glyma.06G101900,glyma.Wm82.gnm4.Gm06:8064089,2.75e-144,WGD
Glyma.02G208400,glyma.Wm82.gnm4.Gm02:41172269,Glyma.06G101700,glyma.Wm82.gnm4.Gm06:8041778,2.68e-295,WGD
Glyma.02G208700,glyma.Wm82.gnm4.Gm02:41219719,Glyma.06G101500,glyma.Wm82.gnm4.Gm06:8022924,4.64e-168,WGD
Glyma.02G209100,glyma.Wm82.gnm4.Gm02:41259249,Glyma.06G101200,glyma.Wm82.gnm4.Gm06:7993475,2.54e-301,WGD
Glyma.02G209200,glyma.Wm82.gnm4.Gm02:41270483,Glyma.06G100900,glyma.Wm82.gnm4.Gm06:7979902,4.02e-27,WGD
Glyma.02G209500,glyma.Wm82.gnm4.Gm02:41300485,Glyma.06G100300,glyma.Wm82.gnm4.Gm06:7939241,6.83e-58,WGD
Glyma.02G209600,glyma.Wm82.gnm4.Gm02:41313639,Glyma.06G100100,glyma.Wm82.gnm4.Gm06:7929656,3.65e-120,WGD
Glyma.02G210500,glyma.Wm82.gnm4.Gm02:41388544,Glyma.06G100000,glyma.Wm82.gnm4.Gm06:7920878,1.93e-119,WGD
Glyma.02G210600,glyma.Wm82.gnm4.Gm02:41412388,Glyma.06G099800,glyma.Wm82.gnm4.Gm06:7902913,2.63e-59,WGD
Glyma.02G211000,glyma.Wm82.gnm4.Gm02:41467909,Glyma.06G099400,glyma.Wm82.gnm4.Gm06:7870111,9.70e-157,WGD
Glyma.02G211400,glyma.Wm82.gnm4.Gm02:41508869,Glyma.06G098900,glyma.Wm82.gnm4.Gm06:7845280,2.88e-206,WGD
Glyma.02G211500,glyma.Wm82.gnm4.Gm02:41513204,Glyma.06G098800,glyma.Wm82.gnm4.Gm06:7839785,2.94e-53,WGD
Glyma.02G026600,glyma.Wm82.gnm4.Gm02:2354713,Glyma.06G187500,glyma.Wm82.gnm4.Gm06:16307864,8.57e-158,WGD
Glyma.02G027400,glyma.Wm82.gnm4.Gm02:2441098,Glyma.06G187000,glyma.Wm82.gnm4.Gm06:16218668,8.31e-59,WGD
Glyma.02G029200,glyma.Wm82.gnm4.Gm02:2643271,Glyma.06G185900,glyma.Wm82.gnm4.Gm06:16101253,2.45e-105,WGD
Glyma.02G030800,glyma.Wm82.gnm4.Gm02:2813961,Glyma.06G184900,glyma.Wm82.gnm4.Gm06:16005350,4.59e-42,WGD
Glyma.02G033500,glyma.Wm82.gnm4.Gm02:3079910,Glyma.06G184200,glyma.Wm82.gnm4.Gm06:15892244,0.0,WGD
Glyma.02G033900,glyma.Wm82.gnm4.Gm02:3122939,Glyma.06G184100,glyma.Wm82.gnm4.Gm06:15850251,7.84e-155,WGD
Glyma.02G034000,glyma.Wm82.gnm4.Gm02:3138704,Glyma.06G183900,glyma.Wm82.gnm4.Gm06:15825920,1.48e-316,WGD
Glyma.02G034200,glyma.Wm82.gnm4.Gm02:3148980,Glyma.06G183800,glyma.Wm82.gnm4.Gm06:15807324,1.45e-181,WGD
Glyma.02G035000,glyma.Wm82.gnm4.Gm02:3224955,Glyma.06G182700,glyma.Wm82.gnm4.Gm06:15629400,2.07e-93,WGD
Glyma.02G036100,glyma.Wm82.gnm4.Gm02:3309302,Glyma.06G181400,glyma.Wm82.gnm4.Gm06:15430090,1.31e-134,WGD
Glyma.02G037600,glyma.Wm82.gnm4.Gm02:3492416,Glyma.06G179000,glyma.Wm82.gnm4.Gm06:15157614,4.96e-134,WGD
Glyma.02G038500,glyma.Wm82.gnm4.Gm02:3564689,Glyma.06G178400,glyma.Wm82.gnm4.Gm06:15058593,0.0,WGD
Glyma.02G038700,glyma.Wm82.gnm4.Gm02:3597472,Glyma.06G178300,glyma.Wm82.gnm4.Gm06:15046649,7.28e-80,WGD
Glyma.02G039000,glyma.Wm82.gnm4.Gm02:3623232,Glyma.06G178000,glyma.Wm82.gnm4.Gm06:15017244,9.53e-45,WGD
Glyma.02G203100,glyma.Wm82.gnm4.Gm02:40673281,Glyma.06G221600,glyma.Wm82.gnm4.Gm06:27548330,3.64e-198,WGD
Glyma.02G203600,glyma.Wm82.gnm4.Gm02:40733717,Glyma.06G221400,glyma.Wm82.gnm4.Gm06:27073489,0.0,WGD
Glyma.02G203800,glyma.Wm82.gnm4.Gm02:40750903,Glyma.06G219800,glyma.Wm82.gnm4.Gm06:26538589,2.02e-193,WGD
Glyma.02G203900,glyma.Wm82.gnm4.Gm02:40765715,Glyma.06G219600,glyma.Wm82.gnm4.Gm06:26346619,8.90e-201,WGD
Glyma.02G204200,glyma.Wm82.gnm4.Gm02:40785445,Glyma.06G218900,glyma.Wm82.gnm4.Gm06:25596390,0.0,WGD
Glyma.02G204600,glyma.Wm82.gnm4.Gm02:40818034,Glyma.06G220500,glyma.Wm82.gnm4.Gm06:24984339,3.21e-99,WGD
Glyma.02G206401,glyma.Wm82.gnm4.Gm02:40972382,Glyma.06G217400,glyma.Wm82.gnm4.Gm06:22894918,7.24e-72,WGD
Glyma.02G131700,glyma.Wm82.gnm4.Gm02:14020680,Glyma.06G040400,glyma.Wm82.gnm4.Gm06:3028527,8.95e-84,WGD
Glyma.02G132700,glyma.Wm82.gnm4.Gm02:14178040,Glyma.06G039800,glyma.Wm82.gnm4.Gm06:2989555,6.74e-290,WGD
Glyma.02G133600,glyma.Wm82.gnm4.Gm02:14258585,Glyma.06G038600,glyma.Wm82.gnm4.Gm06:2916120,7.65e-128,WGD
Glyma.02G133800,glyma.Wm82.gnm4.Gm02:14285740,Glyma.06G038000,glyma.Wm82.gnm4.Gm06:2895264,1.20e-111,WGD
Glyma.02G134300,glyma.Wm82.gnm4.Gm02:14317933,Glyma.06G037801,glyma.Wm82.gnm4.Gm06:2881632,2.34e-50,WGD
Glyma.02G134400,glyma.Wm82.gnm4.Gm02:14330624,Glyma.06G037600,glyma.Wm82.gnm4.Gm06:2869999,2.23e-124,WGD
Glyma.02G134700,glyma.Wm82.gnm4.Gm02:14373782,Glyma.06G036700,glyma.Wm82.gnm4.Gm06:2801537,1.56e-41,WGD
Glyma.02G084400,glyma.Wm82.gnm4.Gm02:7311396,Glyma.07G168500,glyma.Wm82.gnm4.Gm07:27862386,5.41e-140,WGD
Glyma.02G084600,glyma.Wm82.gnm4.Gm02:7324702,Glyma.07G168600,glyma.Wm82.gnm4.Gm07:28053000,5.67e-107,WGD
Glyma.02G084900,glyma.Wm82.gnm4.Gm02:7344656,Glyma.07G169500,glyma.Wm82.gnm4.Gm07:28648852,1.15e-223,WGD
Glyma.02G085000,glyma.Wm82.gnm4.Gm02:7350581,Glyma.07G169700,glyma.Wm82.gnm4.Gm07:28658952,0.0,WGD
Glyma.02G085200,glyma.Wm82.gnm4.Gm02:7376062,Glyma.07G170200,glyma.Wm82.gnm4.Gm07:29396658,1.59e-223,WGD
Glyma.02G085500,glyma.Wm82.gnm4.Gm02:7402452,Glyma.07G170700,glyma.Wm82.gnm4.Gm07:29507179,0.0,WGD
Glyma.02G085600,glyma.Wm82.gnm4.Gm02:7410448,Glyma.07G170800,glyma.Wm82.gnm4.Gm07:29518586,0.0,WGD
Glyma.02G085700,glyma.Wm82.gnm4.Gm02:7417509,Glyma.07G171000,glyma.Wm82.gnm4.Gm07:29753509,0.0,WGD
Glyma.02G085800,glyma.Wm82.gnm4.Gm02:7435714,Glyma.07G171100,glyma.Wm82.gnm4.Gm07:29815633,2.11e-50,WGD
Glyma.02G085900,glyma.Wm82.gnm4.Gm02:7437406,Glyma.07G171200,glyma.Wm82.gnm4.Gm07:29820253,0.0,WGD
Glyma.02G086100,glyma.Wm82.gnm4.Gm02:7459487,Glyma.07G171400,glyma.Wm82.gnm4.Gm07:29856298,0.0,WGD
Glyma.02G086200,glyma.Wm82.gnm4.Gm02:7469137,Glyma.07G172000,glyma.Wm82.gnm4.Gm07:30096942,0.0,WGD
Glyma.02G086400,glyma.Wm82.gnm4.Gm02:7483271,Glyma.07G172500,glyma.Wm82.gnm4.Gm07:30309758,1.20e-79,WGD
Glyma.02G086500,glyma.Wm82.gnm4.Gm02:7489039,Glyma.07G172600,glyma.Wm82.gnm4.Gm07:30408742,1.05e-71,WGD
Glyma.02G086600,glyma.Wm82.gnm4.Gm02:7495924,Glyma.07G172700,glyma.Wm82.gnm4.Gm07:30411735,1.61e-195,WGD
Glyma.02G086850,glyma.Wm82.gnm4.Gm02:7504959,Glyma.07G173500,glyma.Wm82.gnm4.Gm07:30749611,1.61e-118,WGD
Glyma.02G087000,glyma.Wm82.gnm4.Gm02:7516002,Glyma.07G173700,glyma.Wm82.gnm4.Gm07:31027188,0.0,WGD
Glyma.02G087100,glyma.Wm82.gnm4.Gm02:7533145,Glyma.07G173900,glyma.Wm82.gnm4.Gm07:31079103,0.0,WGD
Glyma.02G102300,glyma.Wm82.gnm4.Gm02:9635752,Glyma.07G213600,glyma.Wm82.gnm4.Gm07:38886756,1.04e-83,WGD
Glyma.02G102400,glyma.Wm82.gnm4.Gm02:9639298,Glyma.07G213700,glyma.Wm82.gnm4.Gm07:38891533,1.10e-106,WGD
Glyma.02G102500,glyma.Wm82.gnm4.Gm02:9660098,Glyma.07G213800,glyma.Wm82.gnm4.Gm07:38914287,0.0,WGD
Glyma.02G102600,glyma.Wm82.gnm4.Gm02:9662888,Glyma.07G213900,glyma.Wm82.gnm4.Gm07:38917038,0.0,WGD
Glyma.02G102800,glyma.Wm82.gnm4.Gm02:9685287,Glyma.07G214100,glyma.Wm82.gnm4.Gm07:38940468,2.29e-199,WGD
Glyma.02G102900,glyma.Wm82.gnm4.Gm02:9712223,Glyma.07G214300,glyma.Wm82.gnm4.Gm07:38970634,1.13e-279,WGD
Glyma.02G103300,glyma.Wm82.gnm4.Gm02:9755131,Glyma.07G214600,glyma.Wm82.gnm4.Gm07:38985470,0.0,WGD
Glyma.02G103500,glyma.Wm82.gnm4.Gm02:9786095,Glyma.07G214700,glyma.Wm82.gnm4.Gm07:39014524,8.61e-191,WGD
Glyma.02G103600,glyma.Wm82.gnm4.Gm02:9791370,Glyma.07G214900,glyma.Wm82.gnm4.Gm07:39029952,8.91e-110,WGD
Glyma.02G103700,glyma.Wm82.gnm4.Gm02:9794147,Glyma.07G215000,glyma.Wm82.gnm4.Gm07:39032676,0.0,WGD
Glyma.02G103800,glyma.Wm82.gnm4.Gm02:9803915,Glyma.07G215200,glyma.Wm82.gnm4.Gm07:39060260,0.0,WGD
Glyma.02G103900,glyma.Wm82.gnm4.Gm02:9813663,Glyma.07G215300,glyma.Wm82.gnm4.Gm07:39075828,0.0,WGD
Glyma.02G104200,glyma.Wm82.gnm4.Gm02:9835582,Glyma.07G215400,glyma.Wm82.gnm4.Gm07:39091241,3.31e-145,WGD
Glyma.02G105300,glyma.Wm82.gnm4.Gm02:9949751,Glyma.07G215500,glyma.Wm82.gnm4.Gm07:39097036,4.66e-141,WGD
Glyma.02G105400,glyma.Wm82.gnm4.Gm02:9957489,Glyma.07G215600,glyma.Wm82.gnm4.Gm07:39115480,1.59e-157,WGD
Glyma.02G134500,glyma.Wm82.gnm4.Gm02:14343750,Glyma.07G177600,glyma.Wm82.gnm4.Gm07:33866142,6.62e-81,WGD
Glyma.02G134700,glyma.Wm82.gnm4.Gm02:14373782,Glyma.07G178100,glyma.Wm82.gnm4.Gm07:34442199,1.14e-90,WGD
Glyma.02G135400,glyma.Wm82.gnm4.Gm02:14440552,Glyma.07G178500,glyma.Wm82.gnm4.Gm07:34560762,5.97e-79,WGD
Glyma.02G135500,glyma.Wm82.gnm4.Gm02:14459905,Glyma.07G178600,glyma.Wm82.gnm4.Gm07:34587224,4.23e-233,WGD
Glyma.02G135900,glyma.Wm82.gnm4.Gm02:14527444,Glyma.07G179801,glyma.Wm82.gnm4.Gm07:34865420,5.33e-36,WGD
Glyma.02G136100,glyma.Wm82.gnm4.Gm02:14539189,Glyma.07G179900,glyma.Wm82.gnm4.Gm07:34869008,1.31e-152,WGD
Glyma.02G249000,glyma.Wm82.gnm4.Gm02:45492056,Glyma.07G134300,glyma.Wm82.gnm4.Gm07:15766136,5.52e-164,WGD
Glyma.02G249500,glyma.Wm82.gnm4.Gm02:45534708,Glyma.07G135100,glyma.Wm82.gnm4.Gm07:15868824,2.43e-128,WGD
Glyma.02G250700,glyma.Wm82.gnm4.Gm02:45652670,Glyma.07G136500,glyma.Wm82.gnm4.Gm07:16001631,2.38e-201,WGD
Glyma.02G251000,glyma.Wm82.gnm4.Gm02:45673081,Glyma.07G137100,glyma.Wm82.gnm4.Gm07:16119036,2.14e-67,WGD
Glyma.02G251100,glyma.Wm82.gnm4.Gm02:45675042,Glyma.07G137300,glyma.Wm82.gnm4.Gm07:16128042,0.0,WGD
Glyma.02G251900,glyma.Wm82.gnm4.Gm02:45736556,Glyma.07G139000,glyma.Wm82.gnm4.Gm07:16348010,6.15e-96,WGD
Glyma.02G131500,glyma.Wm82.gnm4.Gm02:14007721,Glyma.07G213500,glyma.Wm82.gnm4.Gm07:38879949,0.0,WGD
Glyma.02G131600,glyma.Wm82.gnm4.Gm02:14013329,Glyma.07G213200,glyma.Wm82.gnm4.Gm07:38863299,1.66e-179,WGD
Glyma.02G131700,glyma.Wm82.gnm4.Gm02:14020680,Glyma.07G213100,glyma.Wm82.gnm4.Gm07:38856717,2.07e-229,WGD
Glyma.02G131800,glyma.Wm82.gnm4.Gm02:14048200,Glyma.07G213000,glyma.Wm82.gnm4.Gm07:38831408,8.63e-127,WGD
Glyma.02G131900,glyma.Wm82.gnm4.Gm02:14058321,Glyma.07G212900,glyma.Wm82.gnm4.Gm07:38812431,0.0,WGD
Glyma.02G132100,glyma.Wm82.gnm4.Gm02:14071292,Glyma.07G212800,glyma.Wm82.gnm4.Gm07:38805344,0.0,WGD
Glyma.02G132200,glyma.Wm82.gnm4.Gm02:14139733,Glyma.07G212700,glyma.Wm82.gnm4.Gm07:38762713,0.0,WGD
Glyma.02G132400,glyma.Wm82.gnm4.Gm02:14152471,Glyma.07G212500,glyma.Wm82.gnm4.Gm07:38729049,3.93e-201,WGD
Glyma.02G132500,glyma.Wm82.gnm4.Gm02:14165960,Glyma.07G212400,glyma.Wm82.gnm4.Gm07:38714464,2.10e-94,WGD
Glyma.02G132700,glyma.Wm82.gnm4.Gm02:14178040,Glyma.07G212300,glyma.Wm82.gnm4.Gm07:38698224,0.0,WGD
Glyma.02G132800,glyma.Wm82.gnm4.Gm02:14184993,Glyma.07G212200,glyma.Wm82.gnm4.Gm07:38683392,0.0,WGD
Glyma.02G132900,glyma.Wm82.gnm4.Gm02:14190644,Glyma.07G212100,glyma.Wm82.gnm4.Gm07:38677894,6.22e-118,WGD
Glyma.02G133000,glyma.Wm82.gnm4.Gm02:14195577,Glyma.07G212000,glyma.Wm82.gnm4.Gm07:38676907,1.27e-98,WGD
Glyma.02G133100,glyma.Wm82.gnm4.Gm02:14198500,Glyma.07G211900,glyma.Wm82.gnm4.Gm07:38673333,0.0,WGD
Glyma.02G133200,glyma.Wm82.gnm4.Gm02:14201627,Glyma.07G211800,glyma.Wm82.gnm4.Gm07:38668098,8.45e-138,WGD
Glyma.02G133300,glyma.Wm82.gnm4.Gm02:14209984,Glyma.07G211700,glyma.Wm82.gnm4.Gm07:38657635,1.39e-85,WGD
Glyma.02G133400,glyma.Wm82.gnm4.Gm02:14215944,Glyma.07G211600,glyma.Wm82.gnm4.Gm07:38638058,0.0,WGD
Glyma.02G133500,glyma.Wm82.gnm4.Gm02:14241140,Glyma.07G211500,glyma.Wm82.gnm4.Gm07:38621625,2.27e-107,WGD
Glyma.02G133600,glyma.Wm82.gnm4.Gm02:14258585,Glyma.07G211400,glyma.Wm82.gnm4.Gm07:38602070,1.15e-291,WGD
Glyma.02G133700,glyma.Wm82.gnm4.Gm02:14272990,Glyma.07G211300,glyma.Wm82.gnm4.Gm07:38589253,2.34e-95,WGD
Glyma.02G134000,glyma.Wm82.gnm4.Gm02:14293748,Glyma.07G211100,glyma.Wm82.gnm4.Gm07:38556179,8.36e-152,WGD
Glyma.02G134300,glyma.Wm82.gnm4.Gm02:14317933,Glyma.07G210900,glyma.Wm82.gnm4.Gm07:38516176,2.58e-241,WGD
Glyma.02G134400,glyma.Wm82.gnm4.Gm02:14330624,Glyma.07G210800,glyma.Wm82.gnm4.Gm07:38499999,1.47e-250,WGD
Glyma.02G134500,glyma.Wm82.gnm4.Gm02:14343750,Glyma.07G210700,glyma.Wm82.gnm4.Gm07:38485718,1.67e-168,WGD
Glyma.02G134600,glyma.Wm82.gnm4.Gm02:14355642,Glyma.07G210600,glyma.Wm82.gnm4.Gm07:38459169,0.0,WGD
Glyma.02G134700,glyma.Wm82.gnm4.Gm02:14373782,Glyma.07G210300,glyma.Wm82.gnm4.Gm07:38416577,5.85e-84,WGD
Glyma.02G134800,glyma.Wm82.gnm4.Gm02:14393954,Glyma.07G210200,glyma.Wm82.gnm4.Gm07:38408793,2.20e-262,WGD
Glyma.02G135100,glyma.Wm82.gnm4.Gm02:14417042,Glyma.07G209800,glyma.Wm82.gnm4.Gm07:38376171,1.14e-61,WGD
Glyma.02G135300,glyma.Wm82.gnm4.Gm02:14429124,Glyma.07G209600,glyma.Wm82.gnm4.Gm07:38360710,1.16e-257,WGD
Glyma.02G135400,glyma.Wm82.gnm4.Gm02:14440552,Glyma.07G209500,glyma.Wm82.gnm4.Gm07:38339505,1.94e-234,WGD
Glyma.02G135500,glyma.Wm82.gnm4.Gm02:14459905,Glyma.07G209400,glyma.Wm82.gnm4.Gm07:38261054,9.44e-246,WGD
Glyma.02G135700,glyma.Wm82.gnm4.Gm02:14467168,Glyma.07G209300,glyma.Wm82.gnm4.Gm07:38243282,0.0,WGD
Glyma.02G135800,glyma.Wm82.gnm4.Gm02:14500634,Glyma.07G209200,glyma.Wm82.gnm4.Gm07:38222531,1.92e-28,WGD
Glyma.02G135900,glyma.Wm82.gnm4.Gm02:14527444,Glyma.07G209100,glyma.Wm82.gnm4.Gm07:38203726,4.67e-152,WGD
Glyma.02G136100,glyma.Wm82.gnm4.Gm02:14539189,Glyma.07G209002,glyma.Wm82.gnm4.Gm07:38200822,8.16e-24,WGD
Glyma.02G136700,glyma.Wm82.gnm4.Gm02:14569001,Glyma.07G208750,glyma.Wm82.gnm4.Gm07:38180447,1.92e-117,WGD
Glyma.02G136800,glyma.Wm82.gnm4.Gm02:14574063,Glyma.07G208600,glyma.Wm82.gnm4.Gm07:38147332,0.0,WGD
Glyma.02G137000,glyma.Wm82.gnm4.Gm02:14599887,Glyma.07G208400,glyma.Wm82.gnm4.Gm07:38127443,3.01e-284,WGD
Glyma.02G137100,glyma.Wm82.gnm4.Gm02:14616715,Glyma.07G208300,glyma.Wm82.gnm4.Gm07:38120098,0.0,WGD
Glyma.02G137200,glyma.Wm82.gnm4.Gm02:14624008,Glyma.07G208200,glyma.Wm82.gnm4.Gm07:38112469,0.0,WGD
Glyma.02G137300,glyma.Wm82.gnm4.Gm02:14632412,Glyma.07G208100,glyma.Wm82.gnm4.Gm07:38105856,8.85e-129,WGD
Glyma.02G137400,glyma.Wm82.gnm4.Gm02:14649241,Glyma.07G208000,glyma.Wm82.gnm4.Gm07:38084753,2.59e-112,WGD
