fam,geneA1,geneA2,geneB1,geneB2,geneA1_extracted,geneA2_extracted,geneB1_extracted,geneB2_extracted
Legume.fam3.01218,glyma.Wm82.gnm4.ann1.Glyma.11G089400.1,glyma.Wm82.gnm4.ann1.Glyma.01G155300.3,glyma.Wm82.gnm4.ann1.Glyma.16G111200.1,glyma.Wm82.gnm4.ann1.Glyma.09G194900.2,Glyma.11G089400,Glyma.01G155300,Glyma.16G111200,Glyma.09G194900
Legume.fam3.01219,glyma.Wm82.gnm4.ann1.Glyma.11G080100.1,glyma.Wm82.gnm4.ann1.Glyma.01G163300.1,glyma.Wm82.gnm4.ann1.Glyma.02G045400.1,glyma.Wm82.gnm4.ann1.Glyma.16G123100.1,Glyma.11G080100,Glyma.01G163300,Glyma.02G045400,Glyma.16G123100
Legume.fam3.01221,glyma.Wm82.gnm4.ann1.Glyma.07G268550.1,glyma.Wm82.gnm4.ann1.Glyma.17G005200.1,glyma.Wm82.gnm4.ann1.Glyma.15G120700.1,glyma.Wm82.gnm4.ann1.Glyma.09G015000.1,Glyma.07G268550,Glyma.17G005200,Glyma.15G120700,Glyma.09G015000
Legume.fam3.01223,glyma.Wm82.gnm4.ann1.Glyma.01G236600.1,glyma.Wm82.gnm4.ann1.Glyma.11G006600.1,glyma.Wm82.gnm4.ann1.Glyma.20G149400.1,glyma.Wm82.gnm4.ann1.Glyma.10G245200.1,Glyma.01G236600,Glyma.11G006600,Glyma.20G149400,Glyma.10G245200
Legume.fam3.01224,glyma.Wm82.gnm4.ann1.Glyma.13G345500.1,glyma.Wm82.gnm4.ann1.Glyma.15G028800.2,glyma.Wm82.gnm4.ann1.Glyma.12G050600.1,glyma.Wm82.gnm4.ann1.Glyma.11G126000.1,Glyma.13G345500,Glyma.15G028800,Glyma.12G050600,Glyma.11G126000
Legume.fam3.01227,glyma.Wm82.gnm4.ann1.Glyma.12G187700.1,glyma.Wm82.gnm4.ann1.Glyma.13G313500.1,glyma.Wm82.gnm4.ann1.Glyma.11G179600.1,glyma.Wm82.gnm4.ann1.Glyma.12G093800.1,Glyma.12G187700,Glyma.13G313500,Glyma.11G179600,Glyma.12G093800
Legume.fam3.01229,glyma.Wm82.gnm4.ann1.Glyma.08G127400.1,glyma.Wm82.gnm4.ann1.Glyma.05G168802.1,glyma.Wm82.gnm4.ann1.Glyma.15G045600.1,glyma.Wm82.gnm4.ann1.Glyma.08G187400.4,Glyma.08G127400,Glyma.05G168802,Glyma.15G045600,Glyma.08G187400
Legume.fam3.01230,glyma.Wm82.gnm4.ann1.Glyma.10G028800.1,glyma.Wm82.gnm4.ann1.Glyma.02G145200.1,glyma.Wm82.gnm4.ann1.Glyma.03G156600.1,glyma.Wm82.gnm4.ann1.Glyma.19G158900.2,Glyma.10G028800,Glyma.02G145200,Glyma.03G156600,Glyma.19G158900
Legume.fam3.01233,glyma.Wm82.gnm4.ann1.Glyma.10G290200.1,glyma.Wm82.gnm4.ann1.Glyma.20G099100.1,glyma.Wm82.gnm4.ann1.Glyma.18G287200.1,glyma.Wm82.gnm4.ann1.Glyma.02G094500.1,Glyma.10G290200,Glyma.20G099100,Glyma.18G287200,Glyma.02G094500
Legume.fam3.01238,glyma.Wm82.gnm4.ann1.Glyma.16G200800.3,glyma.Wm82.gnm4.ann1.Glyma.09G149200.1,glyma.Wm82.gnm4.ann1.Glyma.20G153400.1,glyma.Wm82.gnm4.ann1.Glyma.10G241100.2,Glyma.16G200800,Glyma.09G149200,Glyma.20G153400,Glyma.10G241100
Legume.fam3.01240,glyma.Wm82.gnm4.ann1.Glyma.18G202600.1,glyma.Wm82.gnm4.ann1.Glyma.07G151300.1,glyma.Wm82.gnm4.ann1.Glyma.01G120400.1,glyma.Wm82.gnm4.ann1.Glyma.03G056700.1,Glyma.18G202600,Glyma.07G151300,Glyma.01G120400,Glyma.03G056700
Legume.fam3.01246,glyma.Wm82.gnm4.ann1.Glyma.18G213600.1,glyma.Wm82.gnm4.ann1.Glyma.09G274600.1,glyma.Wm82.gnm4.ann1.Glyma.03G034200.1,glyma.Wm82.gnm4.ann1.Glyma.01G133300.1,Glyma.18G213600,Glyma.09G274600,Glyma.03G034200,Glyma.01G133300
Legume.fam3.01249,glyma.Wm82.gnm4.ann1.Glyma.13G360600.1,glyma.Wm82.gnm4.ann1.Glyma.15G013300.3,glyma.Wm82.gnm4.ann1.Glyma.07G034400.1,glyma.Wm82.gnm4.ann1.Glyma.08G207700.1,Glyma.13G360600,Glyma.15G013300,Glyma.07G034400,Glyma.08G207700
Legume.fam3.01250,glyma.Wm82.gnm4.ann1.Glyma.13G360900.1,glyma.Wm82.gnm4.ann1.Glyma.15G013000.3,glyma.Wm82.gnm4.ann1.Glyma.08G207800.1,glyma.Wm82.gnm4.ann1.Glyma.07G034300.2,Glyma.13G360900,Glyma.15G013000,Glyma.08G207800,Glyma.07G034300
Legume.fam3.01252,glyma.Wm82.gnm4.ann1.Glyma.13G046300.1,glyma.Wm82.gnm4.ann1.Glyma.19G046300.1,glyma.Wm82.gnm4.ann1.Glyma.08G365100.1,glyma.Wm82.gnm4.ann1.Glyma.18G297100.1,Glyma.13G046300,Glyma.19G046300,Glyma.08G365100,Glyma.18G297100
Legume.fam3.01254,glyma.Wm82.gnm4.ann1.Glyma.19G028100.1,glyma.Wm82.gnm4.ann1.Glyma.13G058100.2,glyma.Wm82.gnm4.ann1.Glyma.08G242500.1,glyma.Wm82.gnm4.ann1.Glyma.18G264700.1,Glyma.19G028100,Glyma.13G058100,Glyma.08G242500,Glyma.18G264700
Legume.fam3.01255,glyma.Wm82.gnm4.ann1.Glyma.13G050700.1,glyma.Wm82.gnm4.ann1.Glyma.19G037900.1,glyma.Wm82.gnm4.ann1.Glyma.08G254400.1,glyma.Wm82.gnm4.ann1.Glyma.18G277100.1,Glyma.13G050700,Glyma.19G037900,Glyma.08G254400,Glyma.18G277100
Legume.fam3.01256,glyma.Wm82.gnm4.ann1.Glyma.19G039100.1,glyma.Wm82.gnm4.ann1.Glyma.13G050200.1,glyma.Wm82.gnm4.ann1.Glyma.18G278200.4,glyma.Wm82.gnm4.ann1.Glyma.08G255300.2,Glyma.19G039100,Glyma.13G050200,Glyma.18G278200,Glyma.08G255300
Legume.fam3.01257,glyma.Wm82.gnm4.ann1.Glyma.08G249800.1,glyma.Wm82.gnm4.ann1.Glyma.18G272100.1,glyma.Wm82.gnm4.ann1.Glyma.19G033600.1,glyma.Wm82.gnm4.ann1.Glyma.13G053200.1,Glyma.08G249800,Glyma.18G272100,Glyma.19G033600,Glyma.13G053200
Legume.fam3.01258,glyma.Wm82.gnm4.ann1.Glyma.09G140300.1,glyma.Wm82.gnm4.ann1.Glyma.16G194100.1,glyma.Wm82.gnm4.ann1.Glyma.20G157300.1,glyma.Wm82.gnm4.ann1.Glyma.10G237000.1,Glyma.09G140300,Glyma.16G194100,Glyma.20G157300,Glyma.10G237000
Legume.fam3.01259,glyma.Wm82.gnm4.ann1.Glyma.20G156500.1,glyma.Wm82.gnm4.ann1.Glyma.10G238100.1,glyma.Wm82.gnm4.ann1.Glyma.09G143700.1,glyma.Wm82.gnm4.ann1.Glyma.16G196700.1,Glyma.20G156500,Glyma.10G238100,Glyma.09G143700,Glyma.16G196700
Legume.fam3.01263,glyma.Wm82.gnm4.ann1.Glyma.20G214600.1,glyma.Wm82.gnm4.ann1.Glyma.10G175900.1,glyma.Wm82.gnm4.ann1.Glyma.16G207900.3,glyma.Wm82.gnm4.ann1.Glyma.09G157300.4,Glyma.20G214600,Glyma.10G175900,Glyma.16G207900,Glyma.09G157300
Legume.fam3.01267,glyma.Wm82.gnm4.ann1.Glyma.07G260100.1,glyma.Wm82.gnm4.ann1.Glyma.17G013900.1,glyma.Wm82.gnm4.ann1.Glyma.15G107700.1,glyma.Wm82.gnm4.ann1.Glyma.13G205000.2,Glyma.07G260100,Glyma.17G013900,Glyma.15G107700,Glyma.13G205000
Legume.fam3.01269,glyma.Wm82.gnm4.ann1.Glyma.08G045100.3,glyma.Wm82.gnm4.ann1.Glyma.05G238000.3,glyma.Wm82.gnm4.ann1.Glyma.07G092900.1,glyma.Wm82.gnm4.ann1.Glyma.09G183300.2,Glyma.08G045100,Glyma.05G238000,Glyma.07G092900,Glyma.09G183300
Legume.fam3.01271,glyma.Wm82.gnm4.ann1.Glyma.01G146300.2,glyma.Wm82.gnm4.ann1.Glyma.09G193800.1,glyma.Wm82.gnm4.ann1.Glyma.05G228500.2,glyma.Wm82.gnm4.ann1.Glyma.08G035400.1,Glyma.01G146300,Glyma.09G193800,Glyma.05G228500,Glyma.08G035400
Legume.fam3.01272,glyma.Wm82.gnm4.ann1.Glyma.08G035000.1,glyma.Wm82.gnm4.ann1.Glyma.05G228100.2,glyma.Wm82.gnm4.ann1.Glyma.09G194800.1,glyma.Wm82.gnm4.ann1.Glyma.01G147600.3,Glyma.08G035000,Glyma.05G228100,Glyma.09G194800,Glyma.01G147600
Legume.fam3.01274,glyma.Wm82.gnm4.ann1.Glyma.13G065500.20,glyma.Wm82.gnm4.ann1.Glyma.19G019100.6,glyma.Wm82.gnm4.ann1.Glyma.09G241100.1,glyma.Wm82.gnm4.ann1.Glyma.18G255000.5,Glyma.13G065500,Glyma.19G019100,Glyma.09G241100,Glyma.18G255000
Legume.fam3.01275,glyma.Wm82.gnm4.ann1.Glyma.10G020800.1,glyma.Wm82.gnm4.ann1.Glyma.02G153500.1,glyma.Wm82.gnm4.ann1.Glyma.03G210700.1,glyma.Wm82.gnm4.ann1.Glyma.19G207900.1,Glyma.10G020800,Glyma.02G153500,Glyma.03G210700,Glyma.19G207900
Legume.fam3.01277,glyma.Wm82.gnm4.ann1.Glyma.03G148500.1,glyma.Wm82.gnm4.ann1.Glyma.19G151800.1,glyma.Wm82.gnm4.ann1.Glyma.02G150900.3,glyma.Wm82.gnm4.ann1.Glyma.10G023100.1,Glyma.03G148500,Glyma.19G151800,Glyma.02G150900,Glyma.10G023100
Legume.fam3.01278,glyma.Wm82.gnm4.ann1.Glyma.19G161000.1,glyma.Wm82.gnm4.ann1.Glyma.03G158600.1,glyma.Wm82.gnm4.ann1.Glyma.02G142600.1,glyma.Wm82.gnm4.ann1.Glyma.10G031800.3,Glyma.19G161000,Glyma.03G158600,Glyma.02G142600,Glyma.10G031800
Legume.fam3.01280,glyma.Wm82.gnm4.ann1.Glyma.10G038600.7,glyma.Wm82.gnm4.ann1.Glyma.13G125000.1,glyma.Wm82.gnm4.ann1.Glyma.19G166100.1,glyma.Wm82.gnm4.ann1.Glyma.03G164700.1,Glyma.10G038600,Glyma.13G125000,Glyma.19G166100,Glyma.03G164700
Legume.fam3.01283,glyma.Wm82.gnm4.ann1.Glyma.03G169700.3,glyma.Wm82.gnm4.ann1.Glyma.19G170900.2,glyma.Wm82.gnm4.ann1.Glyma.10G042300.3,glyma.Wm82.gnm4.ann1.Glyma.13G129700.1,Glyma.03G169700,Glyma.19G170900,Glyma.10G042300,Glyma.13G129700
Legume.fam3.01284,glyma.Wm82.gnm4.ann1.Glyma.03G171800.1,glyma.Wm82.gnm4.ann1.Glyma.19G172700.1,glyma.Wm82.gnm4.ann1.Glyma.13G131300.1,glyma.Wm82.gnm4.ann1.Glyma.10G043600.3,Glyma.03G171800,Glyma.19G172700,Glyma.13G131300,Glyma.10G043600
Legume.fam3.01286,glyma.Wm82.gnm4.ann1.Glyma.01G242100.1,glyma.Wm82.gnm4.ann1.Glyma.11G002100.1,glyma.Wm82.gnm4.ann1.Glyma.10G256100.3,glyma.Wm82.gnm4.ann1.Glyma.20G135500.1,Glyma.01G242100,Glyma.11G002100,Glyma.10G256100,Glyma.20G135500
Legume.fam3.01287,glyma.Wm82.gnm4.ann1.Glyma.19G185300.1,glyma.Wm82.gnm4.ann1.Glyma.03G184800.1,glyma.Wm82.gnm4.ann1.Glyma.13G145400.1,glyma.Wm82.gnm4.ann1.Glyma.10G058600.1,Glyma.19G185300,Glyma.03G184800,Glyma.13G145400,Glyma.10G058600
Legume.fam3.01289,glyma.Wm82.gnm4.ann1.Glyma.20G133800.1,glyma.Wm82.gnm4.ann1.Glyma.10G257300.1,glyma.Wm82.gnm4.ann1.Glyma.11G001500.1,glyma.Wm82.gnm4.ann1.Glyma.01G242800.1,Glyma.20G133800,Glyma.10G257300,Glyma.11G001500,Glyma.01G242800
Legume.fam3.01291,glyma.Wm82.gnm4.ann1.Glyma.03G201600.1,glyma.Wm82.gnm4.ann1.Glyma.19G198900.1,glyma.Wm82.gnm4.ann1.Glyma.02G197600.1,glyma.Wm82.gnm4.ann1.Glyma.10G080000.1,Glyma.03G201600,Glyma.19G198900,Glyma.02G197600,Glyma.10G080000
Legume.fam3.01292,glyma.Wm82.gnm4.ann1.Glyma.10G103100.2,glyma.Wm82.gnm4.ann1.Glyma.02G182900.1,glyma.Wm82.gnm4.ann1.Glyma.03G138000.1,glyma.Wm82.gnm4.ann1.Glyma.19G140800.2,Glyma.10G103100,Glyma.02G182900,Glyma.03G138000,Glyma.19G140800
Legume.fam3.01293,glyma.Wm82.gnm4.ann1.Glyma.19G067900.1,glyma.Wm82.gnm4.ann1.Glyma.05G079800.1,glyma.Wm82.gnm4.ann1.Glyma.19G122800.1,glyma.Wm82.gnm4.ann1.Glyma.03G003400.1,Glyma.19G067900,Glyma.05G079800,Glyma.19G122800,Glyma.03G003400
Legume.fam3.01294,glyma.Wm82.gnm4.ann1.Glyma.19G109100.1,glyma.Wm82.gnm4.ann1.Glyma.16G042900.1,glyma.Wm82.gnm4.ann1.Glyma.02G070600.1,glyma.Wm82.gnm4.ann1.Glyma.16G152100.1,Glyma.19G109100,Glyma.16G042900,Glyma.02G070600,Glyma.16G152100
Legume.fam3.01298,glyma.Wm82.gnm4.ann1.Glyma.10G140200.1,glyma.Wm82.gnm4.ann1.Glyma.20G089100.4,glyma.Wm82.gnm4.ann1.Glyma.03G225900.1,glyma.Wm82.gnm4.ann1.Glyma.19G222900.1,Glyma.10G140200,Glyma.20G089100,Glyma.03G225900,Glyma.19G222900
Legume.fam3.01300,glyma.Wm82.gnm4.ann1.Glyma.10G166500.11,glyma.Wm82.gnm4.ann1.Glyma.20G222700.3,glyma.Wm82.gnm4.ann1.Glyma.03G251300.3,glyma.Wm82.gnm4.ann1.Glyma.19G248600.1,Glyma.10G166500,Glyma.20G222700,Glyma.03G251300,Glyma.19G248600
Legume.fam3.01302,glyma.Wm82.gnm4.ann1.Glyma.06G197600.1,glyma.Wm82.gnm4.ann1.Glyma.04G165400.1,glyma.Wm82.gnm4.ann1.Glyma.17G103400.1,glyma.Wm82.gnm4.ann1.Glyma.05G024000.1,Glyma.06G197600,Glyma.04G165400,Glyma.17G103400,Glyma.05G024000
Legume.fam3.01303,glyma.Wm82.gnm4.ann1.Glyma.11G124100.7,glyma.Wm82.gnm4.ann1.Glyma.12G048600.1,glyma.Wm82.gnm4.ann1.Glyma.07G163700.2,glyma.Wm82.gnm4.ann1.Glyma.20G008700.1,Glyma.11G124100,Glyma.12G048600,Glyma.07G163700,Glyma.20G008700
Legume.fam3.01304,glyma.Wm82.gnm4.ann1.Glyma.14G219600.1,glyma.Wm82.gnm4.ann1.Glyma.17G258500.1,glyma.Wm82.gnm4.ann1.Glyma.06G023900.1,glyma.Wm82.gnm4.ann1.Glyma.04G023700.1,Glyma.14G219600,Glyma.17G258500,Glyma.06G023900,Glyma.04G023700
Legume.fam3.01305,glyma.Wm82.gnm4.ann1.Glyma.14G217900.1,glyma.Wm82.gnm4.ann1.Glyma.17G256900.2,glyma.Wm82.gnm4.ann1.Glyma.06G025400.1,glyma.Wm82.gnm4.ann1.Glyma.04G025400.3,Glyma.14G217900,Glyma.17G256900,Glyma.06G025400,Glyma.04G025400
Legume.fam3.01307,glyma.Wm82.gnm4.ann1.Glyma.14G155500.1,glyma.Wm82.gnm4.ann1.Glyma.13G034500.1,glyma.Wm82.gnm4.ann1.Glyma.04G245300.1,glyma.Wm82.gnm4.ann1.Glyma.06G117900.2,Glyma.14G155500,Glyma.13G034500,Glyma.04G245300,Glyma.06G117900
Legume.fam3.01308,glyma.Wm82.gnm4.ann1.Glyma.14G174500.2,glyma.Wm82.gnm4.ann1.Glyma.13G089700.2,glyma.Wm82.gnm4.ann1.Glyma.04G100700.1,glyma.Wm82.gnm4.ann1.Glyma.06G102500.5,Glyma.14G174500,Glyma.13G089700,Glyma.04G100700,Glyma.06G102500
Legume.fam3.01309,glyma.Wm82.gnm4.ann1.Glyma.02G208200.1,glyma.Wm82.gnm4.ann1.Glyma.14G176400.1,glyma.Wm82.gnm4.ann1.Glyma.04G100300.2,glyma.Wm82.gnm4.ann1.Glyma.06G102000.1,Glyma.02G208200,Glyma.14G176400,Glyma.04G100300,Glyma.06G102000
Legume.fam3.01310,glyma.Wm82.gnm4.ann1.Glyma.14G176900.1,glyma.Wm82.gnm4.ann1.Glyma.02G208700.1,glyma.Wm82.gnm4.ann1.Glyma.06G101500.2,glyma.Wm82.gnm4.ann1.Glyma.04G099900.5,Glyma.14G176900,Glyma.02G208700,Glyma.06G101500,Glyma.04G099900
Legume.fam3.01311,glyma.Wm82.gnm4.ann1.Glyma.14G178000.1,glyma.Wm82.gnm4.ann1.Glyma.02G210500.1,glyma.Wm82.gnm4.ann1.Glyma.06G100000.1,glyma.Wm82.gnm4.ann1.Glyma.04G098400.1,Glyma.14G178000,Glyma.02G210500,Glyma.06G100000,Glyma.04G098400
Legume.fam3.01313,glyma.Wm82.gnm4.ann1.Glyma.04G096000.1,glyma.Wm82.gnm4.ann1.Glyma.06G097700.11,glyma.Wm82.gnm4.ann1.Glyma.14G182700.1,glyma.Wm82.gnm4.ann1.Glyma.02G215300.1,Glyma.04G096000,Glyma.06G097700,Glyma.14G182700,Glyma.02G215300
Legume.fam3.01314,glyma.Wm82.gnm4.ann1.Glyma.14G185300.1,glyma.Wm82.gnm4.ann1.Glyma.02G217900.2,glyma.Wm82.gnm4.ann1.Glyma.06G091900.1,glyma.Wm82.gnm4.ann1.Glyma.04G090000.1,Glyma.14G185300,Glyma.02G217900,Glyma.06G091900,Glyma.04G090000
Legume.fam3.01316,glyma.Wm82.gnm4.ann1.Glyma.04G081100.1,glyma.Wm82.gnm4.ann1.Glyma.06G082800.1,glyma.Wm82.gnm4.ann1.Glyma.17G191000.1,glyma.Wm82.gnm4.ann1.Glyma.14G142900.1,Glyma.04G081100,Glyma.06G082800,Glyma.17G191000,Glyma.14G142900
Legume.fam3.01317,glyma.Wm82.gnm4.ann1.Glyma.17G189700.1,glyma.Wm82.gnm4.ann1.Glyma.14G141200.1,glyma.Wm82.gnm4.ann1.Glyma.04G079700.1,glyma.Wm82.gnm4.ann1.Glyma.06G081300.1,Glyma.17G189700,Glyma.14G141200,Glyma.04G079700,Glyma.06G081300
Legume.fam3.01318,glyma.Wm82.gnm4.ann1.Glyma.06G079800.1,glyma.Wm82.gnm4.ann1.Glyma.04G078300.1,glyma.Wm82.gnm4.ann1.Glyma.14G139700.2,glyma.Wm82.gnm4.ann1.Glyma.17G188500.1,Glyma.06G079800,Glyma.04G078300,Glyma.14G139700,Glyma.17G188500
Legume.fam3.01319,glyma.Wm82.gnm4.ann1.Glyma.14G139400.1,glyma.Wm82.gnm4.ann1.Glyma.17G188800.1,glyma.Wm82.gnm4.ann1.Glyma.06G079500.1,glyma.Wm82.gnm4.ann1.Glyma.04G078100.1,Glyma.14G139400,Glyma.17G188800,Glyma.06G079500,Glyma.04G078100
Legume.fam3.01320,glyma.Wm82.gnm4.ann1.Glyma.04G012500.3,glyma.Wm82.gnm4.ann1.Glyma.06G012200.2,glyma.Wm82.gnm4.ann1.Glyma.12G042800.3,glyma.Wm82.gnm4.ann1.Glyma.11G117100.1,Glyma.04G012500,Glyma.06G012200,Glyma.12G042800,Glyma.11G117100
Legume.fam3.01321,glyma.Wm82.gnm4.ann1.Glyma.04G060700.1,glyma.Wm82.gnm4.ann1.Glyma.06G061300.1,glyma.Wm82.gnm4.ann1.Glyma.17G223200.1,glyma.Wm82.gnm4.ann1.Glyma.14G102000.1,Glyma.04G060700,Glyma.06G061300,Glyma.17G223200,Glyma.14G102000
Legume.fam3.01323,glyma.Wm82.gnm4.ann1.Glyma.04G055100.1,glyma.Wm82.gnm4.ann1.Glyma.06G055200.1,glyma.Wm82.gnm4.ann1.Glyma.17G225300.1,glyma.Wm82.gnm4.ann1.Glyma.14G099400.1,Glyma.04G055100,Glyma.06G055200,Glyma.17G225300,Glyma.14G099400
Legume.fam3.01325,glyma.Wm82.gnm4.ann1.Glyma.17G236200.1,glyma.Wm82.gnm4.ann1.Glyma.14G088300.1,glyma.Wm82.gnm4.ann1.Glyma.06G045400.1,glyma.Wm82.gnm4.ann1.Glyma.04G044900.1,Glyma.17G236200,Glyma.14G088300,Glyma.06G045400,Glyma.04G044900
Legume.fam3.01331,glyma.Wm82.gnm4.ann1.Glyma.14G057400.1,glyma.Wm82.gnm4.ann1.Glyma.02G263900.4,glyma.Wm82.gnm4.ann1.Glyma.18G025100.2,glyma.Wm82.gnm4.ann1.Glyma.11G232200.1,Glyma.14G057400,Glyma.02G263900,Glyma.18G025100,Glyma.11G232200
Legume.fam3.01332,glyma.Wm82.gnm4.ann1.Glyma.02G264000.1,glyma.Wm82.gnm4.ann1.Glyma.14G057500.1,glyma.Wm82.gnm4.ann1.Glyma.11G231800.1,glyma.Wm82.gnm4.ann1.Glyma.18G025400.1,Glyma.02G264000,Glyma.14G057500,Glyma.11G231800,Glyma.18G025400
Legume.fam3.01335,glyma.Wm82.gnm4.ann1.Glyma.18G034800.1,glyma.Wm82.gnm4.ann1.Glyma.11G222800.1,glyma.Wm82.gnm4.ann1.Glyma.02G250400.1,glyma.Wm82.gnm4.ann1.Glyma.14G066200.1,Glyma.18G034800,Glyma.11G222800,Glyma.02G250400,Glyma.14G066200
Legume.fam3.01336,glyma.Wm82.gnm4.ann1.Glyma.11G213000.4,glyma.Wm82.gnm4.ann1.Glyma.18G043600.1,glyma.Wm82.gnm4.ann1.Glyma.02G241400.1,glyma.Wm82.gnm4.ann1.Glyma.14G211100.1,Glyma.11G213000,Glyma.18G043600,Glyma.02G241400,Glyma.14G211100
Legume.fam3.01337,glyma.Wm82.gnm4.ann1.Glyma.18G073400.1,glyma.Wm82.gnm4.ann1.Glyma.08G333400.2,glyma.Wm82.gnm4.ann1.Glyma.02G302900.6,glyma.Wm82.gnm4.ann1.Glyma.14G011000.1,Glyma.18G073400,Glyma.08G333400,Glyma.02G302900,Glyma.14G011000
Legume.fam3.01339,glyma.Wm82.gnm4.ann1.Glyma.08G325300.1,glyma.Wm82.gnm4.ann1.Glyma.18G081900.4,glyma.Wm82.gnm4.ann1.Glyma.14G016700.4,glyma.Wm82.gnm4.ann1.Glyma.02G296900.1,Glyma.08G325300,Glyma.18G081900,Glyma.14G016700,Glyma.02G296900
Legume.fam3.01340,glyma.Wm82.gnm4.ann1.Glyma.08G319100.1,glyma.Wm82.gnm4.ann1.Glyma.18G094400.1,glyma.Wm82.gnm4.ann1.Glyma.02G292300.1,glyma.Wm82.gnm4.ann1.Glyma.14G022300.1,Glyma.08G319100,Glyma.18G094400,Glyma.02G292300,Glyma.14G022300
Legume.fam3.01342,glyma.Wm82.gnm4.ann1.Glyma.18G064900.1,glyma.Wm82.gnm4.ann1.Glyma.11G176800.1,glyma.Wm82.gnm4.ann1.Glyma.02G224600.1,glyma.Wm82.gnm4.ann1.Glyma.14G191300.5,Glyma.18G064900,Glyma.11G176800,Glyma.02G224600,Glyma.14G191300
Legume.fam3.01343,glyma.Wm82.gnm4.ann1.Glyma.18G107600.3,glyma.Wm82.gnm4.ann1.Glyma.08G308900.3,glyma.Wm82.gnm4.ann1.Glyma.14G029000.1,glyma.Wm82.gnm4.ann1.Glyma.02G286000.1,Glyma.18G107600,Glyma.08G308900,Glyma.14G029000,Glyma.02G286000
Legume.fam3.01349,glyma.Wm82.gnm4.ann1.Glyma.11G236300.3,glyma.Wm82.gnm4.ann1.Glyma.18G020900.14,glyma.Wm82.gnm4.ann1.Glyma.08G140100.1,glyma.Wm82.gnm4.ann1.Glyma.05G182500.22,Glyma.11G236300,Glyma.18G020900,Glyma.08G140100,Glyma.05G182500
Legume.fam3.01358,glyma.Wm82.gnm4.ann1.Glyma.15G074900.1,glyma.Wm82.gnm4.ann1.Glyma.13G238400.8,glyma.Wm82.gnm4.ann1.Glyma.07G197200.1,glyma.Wm82.gnm4.ann1.Glyma.13G179000.1,Glyma.15G074900,Glyma.13G238400,Glyma.07G197200,Glyma.13G179000
Legume.fam3.01360,glyma.Wm82.gnm4.ann1.Glyma.15G084600.1,glyma.Wm82.gnm4.ann1.Glyma.13G227900.1,glyma.Wm82.gnm4.ann1.Glyma.08G117300.3,glyma.Wm82.gnm4.ann1.Glyma.05G159600.3,Glyma.15G084600,Glyma.13G227900,Glyma.08G117300,Glyma.05G159600
Legume.fam3.01363,glyma.Wm82.gnm4.ann1.Glyma.03G011200.6,glyma.Wm82.gnm4.ann1.Glyma.07G072300.1,glyma.Wm82.gnm4.ann1.Glyma.18G231300.5,glyma.Wm82.gnm4.ann1.Glyma.09G260600.3,Glyma.03G011200,Glyma.07G072300,Glyma.18G231300,Glyma.09G260600
Legume.fam3.01364,glyma.Wm82.gnm4.ann1.Glyma.07G065700.1,glyma.Wm82.gnm4.ann1.Glyma.16G032200.1,glyma.Wm82.gnm4.ann1.Glyma.18G238100.1,glyma.Wm82.gnm4.ann1.Glyma.09G255000.1,Glyma.07G065700,Glyma.16G032200,Glyma.18G238100,Glyma.09G255000
Legume.fam3.01365,glyma.Wm82.gnm4.ann1.Glyma.16G023000.1,glyma.Wm82.gnm4.ann1.Glyma.07G054000.1,glyma.Wm82.gnm4.ann1.Glyma.19G257400.1,glyma.Wm82.gnm4.ann1.Glyma.03G258700.3,Glyma.16G023000,Glyma.07G054000,Glyma.19G257400,Glyma.03G258700
Legume.fam3.01366,glyma.Wm82.gnm4.ann1.Glyma.13G346900.6,glyma.Wm82.gnm4.ann1.Glyma.15G027500.1,glyma.Wm82.gnm4.ann1.Glyma.16G005700.1,glyma.Wm82.gnm4.ann1.Glyma.07G036300.10,Glyma.13G346900,Glyma.15G027500,Glyma.16G005700,Glyma.07G036300
Legume.fam3.01368,glyma.Wm82.gnm4.ann1.Glyma.08G222200.4,glyma.Wm82.gnm4.ann1.Glyma.07G004300.2,glyma.Wm82.gnm4.ann1.Glyma.13G372400.1,glyma.Wm82.gnm4.ann1.Glyma.15G001300.1,Glyma.08G222200,Glyma.07G004300,Glyma.13G372400,Glyma.15G001300
Legume.fam3.01369,glyma.Wm82.gnm4.ann1.Glyma.03G016600.7,glyma.Wm82.gnm4.ann1.Glyma.07G076800.1,glyma.Wm82.gnm4.ann1.Glyma.18G225800.5,glyma.Wm82.gnm4.ann1.Glyma.09G265200.3,Glyma.03G016600,Glyma.07G076800,Glyma.18G225800,Glyma.09G265200
Legume.fam3.01370,glyma.Wm82.gnm4.ann1.Glyma.18G224500.1,glyma.Wm82.gnm4.ann1.Glyma.09G266200.6,glyma.Wm82.gnm4.ann1.Glyma.03G019300.1,glyma.Wm82.gnm4.ann1.Glyma.07G080900.4,Glyma.18G224500,Glyma.09G266200,Glyma.03G019300,Glyma.07G080900
Legume.fam3.01375,glyma.Wm82.gnm4.ann1.Glyma.07G014800.1,glyma.Wm82.gnm4.ann1.Glyma.08G200400.1,glyma.Wm82.gnm4.ann1.Glyma.15G020600.1,glyma.Wm82.gnm4.ann1.Glyma.13G353800.4,Glyma.07G014800,Glyma.08G200400,Glyma.15G020600,Glyma.13G353800
